date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:23:11	7025/7025	---MCZ	200	added ('OK')	text/html	etag:W/%226764e486-1b71%22	https://inai.neocities.org/	C:/Users/Pakyngl/Downloads/framer/https___inai.neocities.org_/inai.neocities.org/index.html	(from )
18:23:11	2203/2203	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22664be62c-188e%22	https://inai.neocities.org/robots.txt		(from )
18:23:11	719/719	---M--	200	added ('OK')	text/css	etag:%226658047c-2cf%22	https://inai.neocities.org/style.css	C:/Users/Pakyngl/Downloads/framer/https___inai.neocities.org_/inai.neocities.org/style.css	(from https://inai.neocities.org/)
18:23:11	173/173	---M--	200	added ('OK')	image/png	etag:%2263226e07-ad%22	https://inai.neocities.org/img/cross.png	C:/Users/Pakyngl/Downloads/framer/https___inai.neocities.org_/inai.neocities.org/img/cross.png	(from https://inai.neocities.org/)
18:23:13	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Jul%202025%2016:23:14%20GMT	https://inai.neocities.org/home.html	C:/Users/Pakyngl/Downloads/framer/https___inai.neocities.org_/inai.neocities.org/home.html	(from https://inai.neocities.org/)
18:23:13	8083/8083	---MCZ	200	added ('OK')	text/html	etag:W/%226845fd28-1f93%22	https://inai.neocities.org/home	C:/Users/Pakyngl/Downloads/framer/https___inai.neocities.org_/inai.neocities.org/home.html	(from https://inai.neocities.org/)
18:23:14	115771/115771	---M--	200	added ('OK')	image/jpeg	etag:%22664ab6af-1c43b%22	https://files.catbox.moe/8lt8x9.jpg	C:/Users/Pakyngl/Downloads/framer/https___inai.neocities.org_/files.catbox.moe/8lt8x9.jpg	(from https://inai.neocities.org/)
18:23:14	1970/1970	---M--	200	added ('OK')	image/gif	etag:%22664ab977-7b2%22	https://files.catbox.moe/twze70.gif	C:/Users/Pakyngl/Downloads/framer/https___inai.neocities.org_/files.catbox.moe/twze70.gif	(from https://inai.neocities.org/)
18:23:15	57132/57132	---M--	200	added ('OK')	image/png	etag:%22632283e7-df2c%22	https://inai.neocities.org/img/gravesdark.png	C:/Users/Pakyngl/Downloads/framer/https___inai.neocities.org_/inai.neocities.org/img/gravesdark.png	(from https://inai.neocities.org/style.css)
18:23:18	5073266/5073266	---M--	200	added ('OK')	image/gif	etag:%2264aca5c7-4d6972%22	https://inai.neocities.org/img/staticgid.gif	C:/Users/Pakyngl/Downloads/framer/https___inai.neocities.org_/inai.neocities.org/img/staticgid.gif	(from https://inai.neocities.org/)
18:23:19	951535/951535	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2008%20Jul%202025%2010:35:06%20GMT	https://unpkg.com/webamp@1.4.0/built/webamp.bundle.min.js	C:/Users/Pakyngl/Downloads/framer/https___inai.neocities.org_/unpkg.com/webamp@1.4.0/built/webamp.bundle.min.js	(from https://inai.neocities.org/home)
18:23:19	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Jul%202025%2016:23:19%20GMT	https://inai.neocities.org/index.html	C:/Users/Pakyngl/Downloads/framer/https___inai.neocities.org_/inai.neocities.org/index-2.html	(from https://inai.neocities.org/home)
18:23:19	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Jul%202025%2016:23:20%20GMT	https://inai.neocities.org/index	C:/Users/Pakyngl/Downloads/framer/https___inai.neocities.org_/inai.neocities.org/index	(from https://inai.neocities.org/home)
18:23:19	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Jul%202025%2016:23:20%20GMT	https://inai.neocities.org/about.html	C:/Users/Pakyngl/Downloads/framer/https___inai.neocities.org_/inai.neocities.org/about.html	(from https://inai.neocities.org/home)
18:23:20	2982/2982	---MCZ	200	added ('OK')	text/html	etag:W/%22671b1973-ba6%22	https://inai.neocities.org/about	C:/Users/Pakyngl/Downloads/framer/https___inai.neocities.org_/inai.neocities.org/about.html	(from https://inai.neocities.org/home)
18:23:20	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Jul%202025%2016:23:20%20GMT	https://inai.neocities.org/blog.html	C:/Users/Pakyngl/Downloads/framer/https___inai.neocities.org_/inai.neocities.org/blog.html	(from https://inai.neocities.org/home)
18:23:20	11849/11849	---MCZ	200	added ('OK')	text/html	etag:W/%22683a304e-2e49%22	https://inai.neocities.org/blog	C:/Users/Pakyngl/Downloads/framer/https___inai.neocities.org_/inai.neocities.org/blog.html	(from https://inai.neocities.org/home)
18:23:20	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Jul%202025%2016:23:21%20GMT	https://inai.neocities.org/links.html	C:/Users/Pakyngl/Downloads/framer/https___inai.neocities.org_/inai.neocities.org/links.html	(from https://inai.neocities.org/home)
18:23:21	11049/11049	---MCZ	200	added ('OK')	text/html	etag:W/%22684b34a8-2b29%22	https://inai.neocities.org/links	C:/Users/Pakyngl/Downloads/framer/https___inai.neocities.org_/inai.neocities.org/links.html	(from https://inai.neocities.org/home)
18:23:22	697493/697493	---M--	200	added ('OK')	image/jpeg	etag:%22664a4cd8-aa495%22	https://files.catbox.moe/1ho2ul.jpg	C:/Users/Pakyngl/Downloads/framer/https___inai.neocities.org_/files.catbox.moe/1ho2ul.jpg	(from https://inai.neocities.org/home)
18:23:23	1176/1176	---M--	200	added ('OK')	image/png	etag:%229f20a444089b46e65d92c7e990e91d16-1498089600-12138a4%22	https://64.media.tumblr.com/179456fb3467eeef11bafd78e4db6715/ce6e3d46a9820ef3-78/s250x400/053af63533fc449cf237d98c6333658ff0829906.png	C:/Users/Pakyngl/Downloads/framer/https___inai.neocities.org_/64.media.tumblr.com/179456fb3467eeef11bafd78e4db6715/ce6e3d46a9820ef3-78/s250x400/tumblr_179456fb3467eeef11bafd78e4db6715_053af635_250.png	(from https://inai.neocities.org/home)
18:23:23	2670/2670	---M--	200	added ('OK')	image/png	etag:%22664a8539-a6e%22	https://files.catbox.moe/r2vbzj.png	C:/Users/Pakyngl/Downloads/framer/https___inai.neocities.org_/files.catbox.moe/r2vbzj.png	(from https://inai.neocities.org/home)
18:23:23	1307/1307	---M--	200	added ('OK')	image/gif	etag:%22408e606261beaf2e54aff129b1f12e26-1523937600-12138a4%22	https://64.media.tumblr.com/38264bffd550b9ebfa5c5797d9297542/3f6a6145e698b005-0f/s75x75_c1/50b01c29db81a591c908063f9718ac2e90e190f4.gif	C:/Users/Pakyngl/Downloads/framer/https___inai.neocities.org_/64.media.tumblr.com/38264bffd550b9ebfa5c5797d9297542/3f6a6145e698b005-0f/s75x75_c1/tumblr_38264bffd550b9ebfa5c5797d9297542_50b01c29_75.gif	(from https://inai.neocities.org/home)
18:23:23	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Jul%202025%2016:23:24%20GMT	https://inai.neocities.org/art.html	C:/Users/Pakyngl/Downloads/framer/https___inai.neocities.org_/inai.neocities.org/art.html	(from https://inai.neocities.org/home)
18:23:24	390308/390308	---M--	200	added ('OK')	image/png	etag:%22664bb9aa-5f4a4%22	https://files.catbox.moe/p8kb9p.png	C:/Users/Pakyngl/Downloads/framer/https___inai.neocities.org_/files.catbox.moe/p8kb9p.png	(from https://inai.neocities.org/home)
18:23:24	4234/4234	---MCZ	200	added ('OK')	text/html	etag:W/%22679aa766-108a%22	https://inai.neocities.org/art	C:/Users/Pakyngl/Downloads/framer/https___inai.neocities.org_/inai.neocities.org/art.html	(from https://inai.neocities.org/home)
18:23:24	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Jul%202025%2016:23:25%20GMT	https://inai.neocities.org/gunpla.html	C:/Users/Pakyngl/Downloads/framer/https___inai.neocities.org_/inai.neocities.org/gunpla.19.delayed	(from https://inai.neocities.org/home)
18:23:24	12927/12927	---MCZ	200	added ('OK')	text/html	etag:W/%226844fdf0-327f%22	https://inai.neocities.org/gunpla	C:/Users/Pakyngl/Downloads/framer/https___inai.neocities.org_/inai.neocities.org/gunpla.html	(from https://inai.neocities.org/home)
